<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20221220;120000;158.8600000;158.9500000;158.0500000;158.0800000;1593160
GAZP;60;20221220;130000;158.0900000;158.4700000;157.8000000;157.8400000;1693510
GAZP;60;20221220;140000;157.8400000;158.3000000;157.8000000;157.8300000;1276550
GAZP;60;20221220;150000;157.8300000;158.0900000;157.7200000;157.7400000;1450990
GAZP;60;20221220;160000;157.7500000;158.0000000;157.7300000;157.8100000;1214280
GAZP;60;20221220;170000;157.8100000;157.8900000;157.7600000;157.8300000;1102950
GAZP;60;20221220;180000;157.8300000;158.9400000;157.8000000;158.5800000;2291670
GAZP;60;20221220;190000;158.5800000;158.9500000;158.5100000;158.9500000;790020
GAZP;60;20221220;200000;158.9900000;159.2300000;158.3100000;158.4100000;416720
GAZP;60;20221220;210000;158.4100000;158.8000000;158.3500000;158.8000000;168430
GAZP;60;20221220;220000;158.8000000;158.8900000;158.6800000;158.8000000;190510
GAZP;60;20221220;230000;158.8000000;159.0000000;158.7000000;159.0000000;247760
GAZP;60;20221221;000000;158.9900000;159.0000000;158.7000000;158.9400000;222280
